,index,닉네임,작성날짜,작성시간,별점,내용
0,5802,ㅎ오우웅,2019-08-21,23:23:42,5,세상에..이거 진짜 맛있어요 ㅋㅋㅋ 간단한데 엄청 맛있네요 ㅠ 전 밥 없이 먹엇는데 밥이랑 먹어도 중국식 계란볶음밥 맛이 날거같아요 진짜 추천이여!
1,5802,뿅뽀로롱,2021-06-18,18:10:20,5,진짜 맛있어요.... ㅋㅋ 이렇게 간단한데....!!!!! 밥이랑 비벼주니 아이들도 너무 잘 먹어요 아이들 부추먹이기에 너무 좋네요!!!
2,5802,보노리,2020-05-21,18:29:51,5,요리하는 데 5분도 안 걸린 것 같아요!! 간단한데 맛은 짱입니당ㅠㅠㅠ레시피 올려주셔서 감사해용
3,5802,블루바라기,2021-05-03,00:09:16,5,"남는 팽이 버섯이 있어서 같이 넣고, 간이 조금 심심해서 후추도 살짝 뿌렸더니 중국집 볶음밥 느낌이 나네요. 감사합니다^^"
4,5802,양초딩,2022-01-29,11:26:15,5,"아이랑 먹으려고 했어요~
부추때문에 안먹을 줄 알았는데 잘 먹네요~
쉽고 간단하고 빠르고~
굿이예요~
감사요^^"
5,5802,들박이,2021-06-25,22:49:04,5,간단하고 너무 맛있어요! 남편이 만드는거 보고 으엑? 했는데 맛보고는 띠용!!했습니다. 넘 맛있다네요. 부추안좋아하는 초딩입맛 남편도 잘먹으니 좋네요. 좋은 레시피 감사합니다
6,5802,오예쓰으,2020-10-12,23:52:30,5,간편하고 맛나요. 저는 볶음밥처럼 밥 넣고 볶은 후에 냉동시켜두고 데워먹어도 맛나요!ㅎㅎ 간편요리~~
7,5802,똘보맘,2021-03-20,19:34:06,5,"너무 간단한데 맛있네요 ㅎㅎ
주말에 빠르고 간단하게 한끼 해결 했네요.
감사합니다~^^"
8,5802,danively,2018-10-09,01:10:03,5,"완전 간단해서 좋네요~~
맛도좋구! 집에 사다놓은 부추 어떻게 처리할까하다 잘 먹었네요~~감사합니다 맛나요~"
9,5802,향캡다우니,2020-09-14,14:43:50,5,조리 시간도 얼마 안 걸리고 쉽게 뚝딱 만들었습니다! 함께 먹은 가족들이 극찬 해주어 기분이 좋았어요 . 맛있는 레시피 올려주셔서 감사합니다 *(^o^)/*
10,5802,Chris Thay,2021-04-20,13:23:59,5,간단하고 영양 밸런스도 좋은 느낌. 일본에서 라멘집에서 일할 때 비슷한 메뉴가 있어서 많이 먹었는데 추억 돋는다. 입맛은 친일파인 내 입에 딱 맞음.
11,5802,감사방패,2020-06-10,07:12:21,5,음식 솜씨가 없어서 처음하는건 실패하고 그랬는데 이건 성공했어요 반찬으로 먹었는데 3살 아들도 맛있는지 자꾸 달라고 하네요 레시피 감사합니다
12,5802,슈크림♡,2021-08-26,20:44:30,5,"맛잇어요
간단하고 굴소스만 넣엇는데 간이 딱맞아요
짭조름해서 맥주에다 안주로 먹엇네요
강추~~"
