,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
0,9401,밑반찬,일상,버섯류,튀김,새송이버섯강정 만드는 법,https://www.10000recipe.com/recipe/4158610,"34,154",풀향기                                ,,,,"['새송이버섯', '슬라이스아몬드', '녹말가루', '식용유', '고추장', '진간장', '매실액', '올리고당', '맛술', '다진마늘']",매콤달콤 쫄깃쫄깃한 반찬! 새송이버섯강정,"['새송이버섯은 적당한 크기로 썰어줍니다.', '1회용 비닐봉지에 썰어 놓은 새송이버섯을 담고 녹말가루를 넣어 튀김옷을 입혀줍니다. 비닐봉지를 이용하면 가루가 손에 묻지 않아서 좋답니다.', '달군 프라이팬에 식용유를 적당량 붓고 170도씨 온도에서 튀김옷을 입힌 새송이버섯을 넣어 노릇노릇하게 튀겨냅니다.', '달군 프라이팬에 분량의 양념 재료 고추장, 진간장, 매실액, 올리고당, 맛술, 다진 마늘을 넣고 보글보글 끓여줍니다.', '튀겨낸 새송이버섯과 슬라이스아몬드를 넣고 버무리듯 양념을 고루 묻혀 주고 불에서 내려요. 새송이버섯강정 만드는 거 어렵지 않지요.', '흐르는 물에 깨끗하게 씻어서 물기를 제거한 깻잎 한 장을 접시에 깔고 새송이버섯강정을 담아냅니다.']",
1,9402,밑반찬,일상,버섯류,튀김,표고버섯강정 ,https://www.10000recipe.com/recipe/4251762,"13,016",풀향기                                ,3,30분 이내,초급,"['표고버섯', '찹쌀가루', '녹말가루', '아몬드가루', '식용유', '고추장', '진간장', '매실액', '올리고당', '맛술', '다진마늘']","표고버섯 요리로는 표고버섯 밥, 표고버섯 전, 표고버섯탕수, 표고버섯볶음 등 다양한데요. 향긋한 표고버섯으로 강정을 만들어 보려고 합니다. 씹는 맛이 일품인 향긋한 표고버섯강정 소개합니다.","['표고버섯은 끓는 물에 살짝 데친 후 찬물에 헹구어 기둥과 물기를 제거하고 먹기 좋은 크기로 썰어줍니다.', '1회용 비닐봉지에 썰어 놓은 표고버섯을 담고 찹쌀가루와 녹말가루를 넣어 튀김옷을 입혀줍니다.', '달군 프라이팬에 식용유를 적당량 붓고 170도씨 온도에서 튀김옷을 입힌 표고버섯을 넣고 노릇노릇하게 튀겨줍니다.', '달군 프라이팬에 분량의 양념 재료 고추장, 진간장, 매실액, 올리고당, 맛술, 다진 마늘을 넣고 보글보글 끓여줍니다.', '튀겨낸 표고버섯을 넣고 버무리듯 양념을 고루 묻혀주고 불에서 내려요.', '표고버섯강정을 접시에 담고 고명으로 아몬드가루를 살짝 뿌려냅니다.']",
2,9403,밑반찬,일상,버섯류,튀김,새송이 버섯요리 / 새송이버섯 튀김 ,https://www.10000recipe.com/recipe/6926774,"4,465",요알남Mingstar                                ,1,10분 이내,아무나,"['새송이버섯', '튀김가루', '물', '식용유']","새송이버섯을 이용하여 다양하고 맛있는 반찬을 만들어 보세요.
새송이버섯은 자연산 송이버섯을 대체하기 위해 재배되어 나온 것입니다. 비타민 C가 풍부합니다. 05:06초 부터 보세요.","['버섯은 씻어 적당한 크기로 자른다.', '튀김가루, 물을 넣고 반죽을 만든다.', '새송이버섯에 튀김 반죽을 입혀준다.', '프라이팬에 식용유를 넣고 튀겨 준다.']","['새송이버섯', '새송이버섯요리', '새송이버섯반찬', '새송이버섯튀김', '새송이버섯레시피', '버섯튀김', '버섯요리', '버섯반찬', '버섯레시피']"
3,9404,밑반찬,일상,버섯류,튀김,‘새송이&만가닥&갈색팽이’ 버섯튀김 만드는 방법!!바삭바삭한 튀김 만드는 방법~!!,https://www.10000recipe.com/recipe/6969877,334,판교맘’s누구나집밥                                ,4,60분 이내,초급,"['새송이버섯', '만가닥버섯', '갈색 팽이버섯', '전분가루', '소금']",남은 버섯을 활용해 ‘버섯튀김’을 해 보았아요^^,"['새송이버섯 3개를 반으로 잘라주시고,', '+로 칼집을 아래 1cm정도 남기고 내 주셔요.', '만가닥버섯100g, 갈색팽이버섯100g,', '새송이버섯 사이에 소금 살짝 뿌려 30분간 절여주시고,', '키친타월로 물기를 제거해 주신 후,', '전분가루를 사이사이 고르게 묻혀주시고,', '기름 넉넉히 둘러,', '노릇하고 바삭한 느낌이 들 때까지 튀긴 다음,강불', '튀김트레이에 잠시 두었다가,', '‘어린잎채소-버섯튀김-홍고추’를 얹어 마무리하였습니다.', '오늘도 맛나게드셔요~~^^']","['발암억제효과', '다이어트', '버섯튀김']"
4,9405,밑반찬,일상,버섯류,튀김,고추소스 동그랑땡 표고 강정,https://www.10000recipe.com/recipe/6849184,"1,114",CJ 제일제당                                ,2,30분 이내,고급,"['해바라기씨유', '비비고도톰동그랑땡                                                                                    10 개', '건표고버섯', '마늘즙', '전분', '청양고추', '홍고추', '양파', '대파(흰부분)', '간장', '백설스위트리자일로스설탕', '백설식초                                                                                    2 큰술', '청주']",명절 지내고 나면 꼭 남는 동그랑땡. 이제는 냉동실에 넣지 말고 색다른 요리로 만들어 보자. 튀긴표고와 함께 매콤한 맛이 일품인 고추소스에 버무리면 느끼함이 싹 가신 새로운 요리가 된다. 명절 때 동그랑땡을 넉넉히 해두면 그때그때 별미로 즐길 수 있는 레시피다.,"['표고버섯은 물에 불려 기둥을 제거하고 먹기 좋게 2~4등분한다. 분량의 고추소스 재료는 고루 섞는다.', '달군 팬에 백설 해바라기유를 두르고 비비고 도톰 동그랑땡을 앞뒤로 노릇하게 굽는다.', '표고버섯은 마늘즙을 넣어 고루 버무린 후 전분을 뿌려 고루 섞는다. 냄비에 백설 해바라기유를 넣고 175℃까지 가열하여 표고버섯을 넣고 노릇하게 튀긴 후 체에 밭친다.', '냄비에 고추 소스를 넣고 한 소끔 끓여 여기에 동그랑땡과 표고버섯을 넣고 고루 버무린다.', '접시에 담아 완성한다.']",
5,9406,밑반찬,일상,버섯류,튀김,"3색 모둠 느타리버섯(백선, 순정, 곤지7호) 바삭! 버섯치킨",https://www.10000recipe.com/recipe/6964900,161,돌돌언니                                ,3,60분 이내,초급,"['3색 모둠 느타리버섯', '치킨튀김가루', '위트빅스                                                                                    5조각', '간장', '고추장', '물엿', '설탕', '다진마늘', '케첩']","저희 집은 종종 양송이와 표고버섯으로 치킨을 만들어 먹는데요, 오늘은 평소랑 다르게 느타리를 살짝 뭉쳐서 더 비슷한 느낌을 내 보았어요. 느타리 고유의 식감과 바삭함이 더해져서 아주 맛있답니다. ^^","['버섯을 가볍게 씻은 뒤, 취향에 맞게 가르고 물 반 컵, 치킨튀김가루를 넣고 잘 섞어 줍니다.', '그 다음에 누룽지 또는 위트빅스를 손으로 잘게 부순 후에 반죽과 섞어 줘요.', '중불로 예열한 기름에 빠르게 튀겨 줍니다.', '튀긴 버섯은 건져서 키친타올 위에 올려 기름기를 제거해요.', '다른 팬에 물 3T 넣고 준비한 양념 소스를 넣어 줍니다.', '어느 정도 졸았으면 식혀 줘요.', '버섯을 접시에 담은 뒤, 약간 식힌 소스를 부으면 완성입니다. ^^ 저는 땅콩이랑 통깨를 뿌렸어요.']","['3색모둠버섯', '백선순정곤지7호', '비건', '버섯', '느타리', '버섯치킨']"
6,9407,밑반찬,일상,버섯류,굽기,버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,https://www.10000recipe.com/recipe/6912734,"282,932",루던                                ,1,15분 이내,아무나,"['새송이버섯', '버터', '어린잎채소', '간장', '맛술', '올리고당']",지금까지 이런 버섯은 없었다. 이것은 관자인가 버섯인가,"['버섯의 밑동과 갓을 잘라낸 뒤, 3~4등분 한다', '자른버섯의 양면에 칼집을 낸다', '팬에 버터를 녹인다', '버섯을 굽는다', '불을 약불로 줄이고 소스를 넣고 졸인다']","['버섯', '새송이버섯', '버터']"
7,9408,밑반찬,일상,버섯류,굽기,새송이버섯요리,https://www.10000recipe.com/recipe/6914931,"58,293",시크제이맘                                ,2,60분 이내,아무나,"['새송이버섯', '식용유', '통깨', '고추장', '고춧가루', '간장', '맛술', '다진 마늘', '올리고당', '참기름']",버섯요리,"['새송이버섯은 길게 모양을 살려 썰어 주세요.', '볼에 양념재료인 고추장 1, 고춧가루 1, 간장 1, 맛술 1, 다진 마늘 0.5, 올리고 당 2, 참기름 1을\n한데 섞어 새송이버섯 구이 양념장을 만들어 주세요.', '달군 팬에 식용유를 적당하게 두르고', '앞, 뒤로 노릇하게 구워 주세요.', '버섯이 구워지면 만들어 놓은 양념장을 펴 바르고\n앞, 뒤로 살짝 더 구워 마무리합니다.\n새송이버섯을 미리 구워주어 오랫동안 구울 필요가 없어요.\n양념을 바르고 구우면 탈수 있으니 살짝만 구워 주세요.', '새송이버섯 구이 완성 ^^']","['새송이버섯구이', '버섯요리']"
8,9409,밑반찬,일상,버섯류,굽기,팽이버섯구이 팽이버섯 제발 이렇게 드세요 왜냐하면....,https://www.10000recipe.com/recipe/6992655,332,즐거운날랄라                                ,3,10분 이내,아무나,"['팽이버섯', '쪽파 또는 부추', '홍고추', '간장', '참치액젓', '맛술', '들기름', '올리고당', '고춧가루', '통깨', '다진마늘']","체지방 감소, 면역력강화에 도움을 주는
팽이버섯을 기름없이 살짝 구워 먹었더니... 

기름으로 인한 느끼함 없이 깔끔하게 
먹을 수 있어 너무 맛있어요~ 

오독오독한 식감에 짭조름한 양념장이
더해지니 팽이버섯 1~2개는 
그자리에서 호로록록~ 
팽이버섯 맛있게 만들어 보세요","['팽이버섯은 밑둥을 제거하고 \n이물질들을 털어내어 제거합니다팽이버섯은 물에 담가 세척하면 수용성 영양분이\n쉽게 빠져나간다고 하니 이물질을 털어내거나 빠르게 세척합니다', '가로로 넓직하게 썰어주세요', '홍고추 1개, 부추 나 쪽파 1/2대 총총 잘게 썰어주세요', '분량의 양념장을 \n모두 넣어 잘 섞어주세요간장 3큰술, 참치액젓 1큰술 맛술 1큰술, 들기름 2큰술 올리고당 2큰술, 고춧가루 1큰술 통깨 1큰술, 다진마늘 1/2큰술쪽파나 부추는 듬뿍 (1/2줌) 넣어 줘야지 \n간이 적당하게 맞아 더 맛있게 드실 수 있어용~', '마른팬에(기름X) 팽이버섯을\n앞, 뒤로 중불에서 구워줍니다', '노릇하게 잘 익은 팽이버섯에\n양념장을 적당히 뿌려주면 완성입니다']","['팽이버섯', '팽이버섯구이', '팽이버섯레시피', '팽이버섯양념장', '팽이버섯요리']"
9,9410,밑반찬,일상,버섯류,굽기,새송이버섯구이 레시피,https://www.10000recipe.com/recipe/6992595,100,고구미                                ,1,10분 이내,아무나,"['새송이버섯', '올리브유', '소금', '후추']","드디어 나도 해먹어본 통새송이버섯구이 ‼️‼️‼️
sns에서 지이이인짜 많이 본 에어프라이기로 하는 통새송이버섯구이 레시핀
저장만 해두다가 드디어 해먹어봄!!
이 맛있는 버섯구이를 귀찮아서 이제야 해먹어본 나 반성해..","['통새송이버섯구이 재료는 뭐 없죠..진짜 새송이버섯만 있으면 되니께여', '올리브유 조금 바르고 소금 후추 3-4꼬집 뿌려서\n에어프라이기에 190도 10분 (5분마다 앞뒤로 뒤집어주기)\n돌려주면 끝인데\n이 간단한걸 나 왜 이제 해먹은겨,,,\n에어프라이기 제품사양마다 시간은 달라질수 있으니 참고!!에어프라이어', '5분 됐을때 열었더니 이정도!\n앞뒤로 돌려서 5분 한번 더~!!', '완성', '크ㅠㅠㅠㅠ아니 여러분 여기 버섯즙보세여,,\n진짜 촉촉,,!! 버섯국물이 흘러넘친다구여', '간 조금 더해먹고싶어서 후추소금 조금 더 뿌리고\n내 최애만능양념 와사비까지', '이렇게 콕 와사비 얹어먹으면 진짜 도라방스 맛~~~\n쫄깃쫄깃해여 버섯이']","['버섯요리', '새송이버섯구이', '새송이버섯에어프라이기', '에어프라이기요리', '다이어트요리', '버섯구이레시피', '새송이버섯레시피', '통새송이버섯구이']"
