,index,닉네임,작성날짜,작성시간,별점,내용
0,6202,어정쩡,2021-04-30,11:26:36,5,"레시피가 아주 간단해서
쉽게 잘 따라했고 곤약이 별미네요
잘 만들어먹었습니다!!"
1,6202,푸른하늘미세먼지,2021-08-21,17:37:49,5,"하..애들반찬겸 우리부부안주용으로
만들었는데 이자까야에서 먹던 딱 그맛이네요
존맛탱 ㅜㅜ
레시피공유 감사합니다"
2,6202,RosieKANG,2021-05-21,18:51:47,5,"쫀득쫀득한 곤약 조림이 먹고싶어서, 찾아봤는데 완전 쉽게 설명이 되어있어서 간단히 잘 따라해 봤어요.

저는 칼칼한맛을 좋아해서 청양고추 3개 썰어놓고 통마늘도 한 줌 넣었더니 적당히 매콤한 맛나고 좋아요.

익은 당근을 못먹어서 당근은 패쓰하고 마늘을 넣으니 마늘 계란 곤약 세개 같이 먹으면 식감도 좋고 너무 맛있네요. 감사합니다."
3,6202,리브하이,2022-02-27,21:42:00,5,"제 손에서 자라는 대파는 겁나 크네유ㅋㅋ건표고 버섯이 정말 맛있었어요.

글고 저는 대추도 깨끗이 씻은뒤에 칼집 살짝 넣어서 졸였는데,하루 지나니까 더 맛있었고
대추 넣으니까 비쥬얼이 더 살더군요.

당근은 정말 맛없지만,채수 낸다생각하고
넣었고 꽈리고추는 칼집 내서 뒤늦게
넣어봤어요"
4,6202,tadema,2022-04-08,17:06:01,5,진짜맛있네요 표고도 당근도 쩌리인줄 알았는데 신의한수맞네요 ㅋㅌㅋ
5,6202,Dorothy.,2021-03-22,18:15:31,5,곤약 너무 맛있고 당근은 의아했는데 그 또한 맛있어요!!
6,6202,준차니맘,2021-05-03,17:52:46,5,쉽게 만들수 있어요. 감사합니다
7,6203,♡지글보글쿡쿡♡,2021-03-15,22:50:17,5,"간장조림만 먹다 쉐프님 레시피처럼 고추장메추리알 장조림을 만들었더니 색다른 메추리알 요리로 맛나게 가족들 모두 잘먹었습니다~
저희는 꽈리고추가 있어 함께 넣었는데 좀 파릇함을 유지하게 양념이 많이 조려들면 넣을걸 그랬어요ㅎㅎ
다 조려지고 나니 꽈리고추는 흐물흐물 해져서 ㅋㅋ비쥬얼이 별로였는데 자우당간 쉐프님 레시피 감사히 잘 활용했습니다~"
8,6203,우희선,2020-09-25,19:12:08,5,"간단하게 맛있는 반찬 좋아요~
만날 간장베이스로만 먹다가 고추장양념 먹으니 떡볶이 생각나네요~^^"
9,6203,풍류주당,2020-09-01,17:26:56,5,이거이거만들면서자꾸국물먹게되네요 제가매운건잘못먹지만 고추장은그대로넣고했습니다 왜댓글이없는지아쉽네요 맛난레시피감사합니다
10,6204,keri,2022-07-02,12:06:00,3,그대로했는데 싱겁네요 ㅜ
11,6205,상헌.서윤엄마,2021-06-18,23:17:27,5,간단하고너무맛있네요^^아이들먹을꺼라고추는뺏지만~~꽈리고추넣어서살짝매콤해도맛있을꺼같아요^^
12,6205,ㄱ허니~♡,2016-08-10,01:18:56,5,"맛나네요~간두 딱이구~
입맛 까다로운 고딩딸내미가 아주 맛난다구 엄지척 입니다~^^"
13,6205,초코송이,2017-06-04,12:03:21,5,저는 오징어 없이 메추리알만 가지고 만들어 봤는데도 맛있었어요^^
14,6205,,2017-06-08,18:25:47,5,👍정말 간단하고 맛있어요 감사합니당^^
15,6205,주지현,2017-06-08,11:41:49,5,쇠고기장조림보다 오징어가 더 맛나요^^
16,6205,kevin52716,2017-06-10,09:40:50,5,맛있게 질 먹었습니다.
17,6205,엔젤키스,2021-12-11,18:23:33,5,오 너무 맛있어요
18,6205,토토엄마,2017-08-21,01:17:58,5,넘 맛나네용^^
19,6207,왕정원,2022-08-03,15:10:28,5,너무 맛있게 잘먹었습니다!!
20,6207,해피맘,2022-02-07,20:21:54,5,자극적이지않아 추천오ㅡ
21,6207,웅냐리,2021-02-24,13:22:21,5,너무 맛있어요 사랑해요
22,6207,정서아,2021-04-18,19:55:57,4,맛있어요 간단해서 먹기 좋네요
23,6208,LeeYHarley,2022-03-04,23:15:23,5,빛받아서 색깔이 넘 노랗네요ㅎㅎㅎ 맛있게 잘먹겠습니다^^
24,6211,조리요리요리조리,2022-11-16,23:52:05,5,레시피 따라 만든 장조림 만족합니다. 감사합니다.
25,6211,오기♥️,2022-08-10,20:42:32,5,맛있어요.
26,6213,windyday1,2018-05-29,20:58:24,5,"대박이예요.
메추리알이 이런 맛이 나는지 첨 알았네요.
손쉽게 맛있게 먹을 수 있어요!"
27,6213,민이,2018-02-27,12:46:02,5,메추리알볶을때 소금간살짝하고 마지막에 짜장가루넣고나서 고춧가루를 좀 넣어주니 매콤한짜장으로 딱입맛에맞아요 넘 맛있네요
28,6213,0405****,2018-05-09,21:27:45,5,쉽고 맛있어요. 아들과 함께 뚝딱 요리했네요.
29,6213,bbogbbog,2019-09-25,13:51:24,5,만들고 다 버렸어요 ㅠㅠ 암맛도 안나요
30,6214,유갱❤️,2021-09-08,01:14:51,5,처음 만들어봤어요. 맛있네요. 올리고당 없어서 물엿넣었더니 넘 달아서 2번이나 물 넣고 졸이고 했더니 맛이 살아나네요. 잔멸치 좀 넣었더니 멸치육수맛이 더해져 더 맛있어요
31,6214,승희&명희,2021-01-27,23:26:26,5,"고기 넣은 장조림은 기름이 띄고 식의면 하얗게 끼는 기름이 별로인데,
꽈리고추 넣의니 향도 좋고 깔끔하네요.
메추리알까기가 귀찮아서 이마트에서 깐메추리알 500g에 꽈리고추 한봉지 샀더니 꽈리고추가 좀 적네요.
그래도 맛있게 잘먹었습니다."
