,index,닉네임,작성날짜,작성시간,별점,내용
0,2402,정이영이,2022-10-24,21:20:39,5,아기 이유식 만들고 남은 줄기 어떻게 처리할까 하다가 알려주신 레시피로 맛있는 반찬을 만들었어요!! 감사합니다❤️
1,2403,깜랑리얀,2020-03-09,22:55:22,5,만들기 넘 쉬우믄서도 맛나요. 두 번이나 해먹었어요. 좋은 레시피 넘 감사해요^^
2,2403,박시현,2022-01-21,12:44:50,5,너무 만들기 쉬워서 금방 만들었어요~아삭이 고추로 만들었는데 진짜 식감도 좋고 아이도 맛있다고 잘 먹네요^^
3,2403,둥이,2022-07-09,12:43:28,5,"고추는 풋고추, 아삭이고추를 손수재배해서 레시피대로 
했더니 밥도둑이였어요
잘 먹었습니다"
4,2403,윤수민,2021-10-04,22:56:19,5,만들기도 쉬워서 해먹기 좋은것같아요!풋고추 대신 아삭고추가 더 식감이 좋은것 같네요!매운거 좋아하시는분 ㅊㅊ!
5,2403,-고연,2021-06-17,16:21:07,5,"아삭한 오이고추 구수한 된장에 버무려 시원 짭쪼름하게 잘 먹었습니다
감사합니다!!"
6,2403,땡쭈,2020-03-19,12:21:55,5,"맛있게 잘 먹었어요~~^^ 
저희집 된장은 좀 짜서 레시피대로 했는데 짜네요~
된장은 간보고 양 조절해야될거같아요~~"
7,2403,사랑짱마미,2017-08-29,21:26:41,5,밭에서 딴 청량고추가 60개정도 있어서 만들어보았어요. 2개집어먹고 울신랑 물들이키고 난리예요ㅋ너무 청량고추만 있어서 많이 맵나봐요.양념맛은 좋아요
8,2403,브로콜리데쳐,2019-08-19,17:15:53,5,"아삭이고추가 많아서 걱정했는데 레시피대로 만들었더니 넘 맛있어서 친정,시댁에도 나눠드렸어요 ㅎㅎ
집된장이 좀 짜서 설탕 조금 더 넣었더니 딱 맛있어요"
9,2403,학교안가!!,2020-09-15,08:47:44,5,"아삭이고추로 양념은 눈대중으로만 하던버릇이 있어서 ㅎ 알려주신 양념그대로 넣고 했더니 대충해도 맛나요~
단짠의 조화 밥한그릇 뚝딱!! 사진 찍을새도 없었네요^^"
10,2403,보석2,2022-08-13,15:24:45,5,비도오고 날씨도 덥고~입맛없었는데..레시피덕에 후다닥~맛나게 만들어서 밥 한그릇 클리어~했습니닷~^^감솨합니다~~♡♡
11,2403,이은선822,2021-04-14,17:48:38,5,너무 좋아하는 반찬인데 만들어보긴 처음이예요~ 너무 맛나네요 감사해요^^
12,2403,,2019-08-24,16:08:56,5,"풋고추로 뚝딱 만들었어요~
집에 견과류가 있어 절구로 빻고 선식가루와 같이 섞었더니 더 고소하네요 
다음엔 아삭이 고추로 만들어봐야겠어요"
13,2403,HODUMARU,2021-07-26,21:28:08,5,정말 맛있었습니다!! 풋고추랑 된장이랑 정말 맛이 어울리네요~^^ 감사합니당
14,2403,yoonmi84,2021-07-01,19:39:56,5,"집된장으로했어요..
오이맛고추가 풋고추보다 큼지막해서인지 간이 딱!
맞네요."
15,2403,곽애경,2021-02-10,18:41:29,5,고추는 찍어서 먹는 음식인줄로 알았는데 이렇게 만들어 먹으니 밥도둑이네요. 입으로 술술 들어가는 아삭함과 양념맛이 최고에요^^
16,2403,가오바름,2018-06-26,09:01:56,5,남편이 시골에서 매운고추 한봉다리 크게들고왔는데 그냥은 먹기힘들어 만들어봤더니 남편이 좋아해요 ㅎ 또 만들어달라네요~
17,2403,산장주,2022-04-10,13:54:55,5,"한번 해 봐야지 하다가 오늘에서야 했는데, 간단하지만 맛은 간단하지가 않았어요. 넘 맛있게 먹었습니다.
감사합니다~^^"
18,2403,로랜,2021-08-18,11:00:10,5,엄마가 해주시던 반찬이 생각나서 이 레시피를 찾게되었어요. 너무 맛있어서 이틀 연속 해먹었네요~ 감사합니다
19,2403,bsjj,2021-01-12,10:31:24,5,"처음해봤는데 쉬웠어요!
다만 제가 물기를 싹 빼지않고 만들었나봐요ㅜ 시간이 갈수록 물이 흥건하게 고여서; 담엔 좀더 잘해봐야겠어요"
20,2403,행복한 신나라,2022-01-02,14:52:29,5,"아삭이 고추로 해서 요리해 먹었어요~~
간단하게 아주 맛있게 요리할 수 있게 해 주셔 감사해요~^^"
21,2403,Woorim Park,2021-09-15,04:55:19,5,저는 고추장을 넣어야 하는줄 알고 있었는데 된장에 이런 간단한 재료로 너무 훌륭한 맛이 나왔어요!!! 쉬운 레시피 감사합니다!!
22,2403,한지0,2020-03-24,19:08:52,5,진짜 뚝딱완성 ㅎㅎㅎㅎㅎㅎ 맛있어요!!!아삭아삭해서 ㅎㅎㅎ 잘먹겠습니다~~
23,2403,ㅇㅎ,2018-10-12,15:11:01,5,불도 안써서 좋고 너무 간단하고 맛있네요! 양념 너무 맛있어요^^ 레시피 감사합니다 ^^
24,2403,차대인,2016-12-21,13:34:09,5,고기구워 먹고. 오이고추가 남아 바로 아삭이 했어요. 항상 이 레시피로 해서 맛있게 먹네요~
25,2403,이쁘니,2021-07-11,18:20:23,5,매콤하고 깔끔하고 입맛 돋우는 아주 맛있는 반찬이었어요. 계~속 해먹을래요^^
26,2403,ᄋᄋᄉ,2021-07-20,20:16:42,5,"예전부터 먹어보고 싶었거든요
쉽게 편하게 빠르게 맛나게 했어요
초딩입맛 딸들도 맛있대요
감사합니다.만들수 있는 반찬 하나 추가되었어여 ㅎㅎ"
